timestamp,demand_kw,voltage_a,voltage_b,voltage_c,temperature_celsius,humidity_percent
2008-01-01 0:00:00,1.5684,241.158188,240.6862356,240.496311,5.5,94
2008-01-01 0:15:00,1.5624,240.2524477,240.8332797,240.2833434,5.5,94
2008-01-01 0:30:00,1.679866667,242.2961265,241.7434767,242.6276056,5.5,94
2008-01-01 0:45:00,1.577066667,243.6433634,242.6195168,242.7874053,5.5,94
2008-01-01 1:00:00,1.632266667,240.3752976,240.9426736,241.0690606,5.4,94
2008-01-01 1:15:00,1.711466667,240.3099717,240.5321853,240.5552307,5.4,94
2008-01-01 1:30:00,1.5408,241.2273124,241.4669687,240.141997,5.4,94
2008-01-01 1:45:00,1.593733333,242.254679,241.5213246,241.7211839,5.4,94
2008-01-01 2:00:00,1.866,242.4847365,242.4625238,242.9805706,5.3,95
2008-01-01 2:15:00,2.5608,242.5474854,242.8082188,242.6817775,5.3,95
2008-01-01 2:30:00,2.717866667,242.079462,241.7124048,242.7072785,5.3,95
2008-01-01 2:45:00,2.750266667,243.4850883,244.2885282,243.7910169,5.3,95
2008-01-01 3:00:00,2.614,242.0415497,241.3893117,242.1332679,5.3,95
2008-01-01 3:15:00,2.682,241.7103572,242.8459339,243.5867927,5.3,95
2008-01-01 3:30:00,2.7788,240.753787,240.700627,242.613175,5.3,95
2008-01-01 3:45:00,2.849733333,241.3656373,241.6389751,241.6399846,5.3,95
2008-01-01 4:00:00,2.4756,240.9828927,240.8223779,240.6430471,5.2,95
2008-01-01 4:15:00,2.448,241.298078,242.0234905,241.2148608,5.2,95
2008-01-01 4:30:00,2.3532,240.7367225,240.6630996,241.1975043,5.2,95
2008-01-01 4:45:00,2.447733333,239.8844633,240.1470143,239.9518982,5.2,95
2008-01-01 5:00:00,2.7164,240.6588753,240.240275,240.0554047,5.2,95
2008-01-01 5:15:00,2.3492,240.5750673,240.4062357,240.2064961,5.2,95
2008-01-01 5:30:00,2.421466667,241.0563877,241.340979,241.1955463,5.2,95
2008-01-01 5:45:00,2.4316,239.7081966,240.0294328,240.6170696,5.2,95
2008-01-01 6:00:00,2.432666667,240.3436944,240.2340887,240.8257836,5.2,95
2008-01-01 6:15:00,1.671066667,241.5845818,241.5222652,241.9798122,5.2,95
2008-01-01 6:30:00,1.3696,241.1093862,241.0797146,241.8385415,5.2,95
